PaymentID;CustomerId;ProductId;TransactionDate;CreditCard;CreditCardNumber;Name;Username;Phone;Price;CompanyName;errorMessage
3423811;456;10167;22-01-2013;mastercard;5487 4244 1262 0372;Sanchez Jordan;jordasan6222;(980) 552-0650;;;Price!=null failed
3423812;444;10114;03-01-2013;mastercard;5524 7815 0058 8026;Ayers Aleena;aleayer5094;(781) 383-0195;;;Price!=null failed
3423814;862;10178;13-01-2013;amex;3481 0323 5227 470;Bullock Addyson;addysobullock9056;(361) 926-0205;;;Price!=null failed
3423816;837;10030;05-01-2013;visaelectron;4844 8097 5261 5498;Stark Tatum;tatumsta4237;(762) 668-9915;;;Price!=null failed
3423819;455;10267;20-01-2013;visa;4412 7911 2042 1746;Osborn Jeffery;jefferosb3699;(814) 213-3392;;;Price!=null failed
3423820;889;10071;25-01-2013;visa;4817 1875 6286 2797;Rutledge Callan;callanrutle9851;(612) 146-3964;;;Price!=null failed
3423821;575;10089;27-01-2013;amex;3726 8281 1970 453;Strong Asia;asiastron8298;(707) 998-2365;;;Price!=null failed
3423836;38;10035;24-01-2013;amex;3720 8857 4831 595;Cook Cali;caco2582;(731) 252-3242;;;Price!=null failed
3423839;882;10216;24-01-2013;instapayment;6389 6268 0116 1548;Duncan Jacob;jacdunc3340;(808) 736-5260;;;Price!=null failed
3423842;486;10238;26-01-2013;amex;3789 3645 1477 250;Wheeler Kate;katewheele5400;(626) 357-2232;;;Price!=null failed
3423843;653;10174;01-01-2013;visa;4083 8497 3002 3654;Chandler Camryn;camrynchandler5973;(540) 421-8159;;;Price!=null failed
3423858;540;10317;14-01-2013;visa;4117 0337 5393 8607;Hoover Wesley;weslehoo9045;(918) 190-4415;;;Price!=null failed
3423859;113;10053;12-01-2013;maestro;6759 2516 5401 6285;Mcdonald Amina;aminamcdonald7577;(906) 993-5550;;The Scotts Company;Price!=null failed
3423860;711;10163;30-01-2013;mastercard;5175 9350 0007 6120;Bruce Savannah;savannbruc2145;(936) 134-8768;;;Price!=null failed
3423863;785;10191;03-01-2013;instapayment;6399 3621 1508 4162;Sloan Joanna;joansloan3867;(920) 210-0178;;;Price!=null failed
3423873;470;10113;03-01-2013;amex;3427 3047 3009 933;Mooney Kenya;kemoone1266;(848) 417-3993;;;Price!=null failed
3423880;381;10208;02-01-2013;amex;3768 4419 9817 187;Glass Maritza;maritzaglas5805;(417) 177-5743;;;Price!=null failed
3423882;27;10264;06-01-2013;mastercard;5161 0321 0672 1746;Nixon Abraham;abranixo5269;(703) 425-6253;;;Price!=null failed
3423883;132;10329;23-01-2013;instapayment;6384 8847 3619 9068;Wilkerson Darnell;darnewilkers9054;(816) 912-0696;;;Price!=null failed
3423884;823;10187;16-01-2013;maestro;5018 2321 4118 9926;Finley Sienna;siennafinle2221;(815) 512-9699;;;Price!=null failed
3423886;600;10059;21-01-2013;amex;3478 0392 6894 352;Hewitt Dylan;dylahewit8148;(972) 978-8644;;;Price!=null failed
3423887;647;10345;27-01-2013;amex;3712 5759 1247 280;William Karis;kariswill2458;(385) 907-8410;;;Price!=null failed
3423890;298;10174;08-01-2013;maestro;5020 9898 7276 8980;Mitchell Ishaan;ishaamitchel4803;(440) 587-7100;;;Price!=null failed
3423899;473;10244;26-01-2013;instapayment;6387 1831 6958 9193;Mosley Martha;marthmosle3742;(802) 593-3378;;;Price!=null failed
3423907;280;10323;06-01-2013;instapayment;6395 1797 0462 1780;Martin Maximilian;maximimartin1846;(515) 846-1255;;;Price!=null failed
3423909;705;10307;12-01-2013;visa;4949 4313 5912 6706;Cantrell Ryder;rycantre1685;(862) 892-4504;;;Price!=null failed
3423911;429;10280;25-01-2013;visa;4261 8463 6673 7221;Ross Marlene;marros9335;(857) 150-8522;;;Price!=null failed
3423916;459;10215;12-01-2013;visa;4592 5118 9875 2375;Sosa Seamus;seamusos9674;(954) 977-6713;;;Price!=null failed
3423918;114;10297;19-01-2013;instapayment;6395 7654 6948 4685;Maldonado Junior;junmaldonad1087;(747) 263-5709;;;Price!=null failed
3423919;838;10015;05-01-2013;visaelectron;4508 3102 6785 8548;Cannon Itzel;itzelcanno7404;(352) 984-3447;;;Price!=null failed
3423923;296;10276;30-01-2013;maestro;5893 9889 6800 6093;Tucker Lorelei;loreltuck8885;(321) 847-9672;;;Price!=null failed
3423938;533;10079;22-01-2013;instapayment;6378 5953 9141 8704;Moody Madilynn;madilmood4038;(559) 878-1135;;;Price!=null failed
3423942;173;10340;25-01-2013;maestro;5893 8531 4267 5504;Navarro Lyla;lylnavar3220;(754) 329-3125;;;Price!=null failed
3423945;106;10231;12-01-2013;instapayment;6378 3875 6014 2152;Mcgee Tabitha;tabithmcgee1340;(206) 461-1351;;;Price!=null failed
3423950;133;10207;21-01-2013;mastercard;5580 9667 5230 7982;Rowe Draven;draverow1008;(914) 361-6821;;;Price!=null failed
3423953;49;10014;27-01-2013;maestro;5020 7170 3000 3960;Shepherd Tommy;tomshepherd1528;(539) 573-5276;;;Price!=null failed
3423954;564;10242;16-01-2013;visaelectron;4844 5027 3431 5697;Fowler Eli;elfow8669;(831) 627-5905;;;Price!=null failed
3423955;50;10336;06-01-2013;visa;4364 6157 8623 6494;Campbell Bronson;bronsoncampbell4952;(857) 539-8750;;;Price!=null failed
3423956;208;10110;06-01-2013;mastercard;5545 8929 8205 3457;Wise Peter;petwi5037;(971) 443-9701;;;Price!=null failed
3423958;811;10336;05-01-2013;amex;3470 4314 8151 824;Mathis Enrique;enriqmath4145;(318) 934-6767;;;Price!=null failed
3423959;560;10074;09-01-2013;visaelectron;4026 6375 5368 2056;Mccullough Skylar;skylamccullo9036;(813) 558-4578;;;Price!=null failed
3423960;587;10286;18-01-2013;mastercard;5595 6117 9663 0956;Sampson Lailah;lailasamp8662;(229) 940-3405;;;Price!=null failed
3423966;344;10191;16-01-2013;maestro;6759 3512 8542 3528;Knowles Conor;conknowl4386;(912) 703-5958;;;Price!=null failed
3423972;304;10280;27-01-2013;maestro;5038 4419 9138 1667;Schneider Jordan;jordschnei2835;(573) 889-4677;;;Price!=null failed
3423974;561;10285;30-01-2013;instapayment;6378 4208 2694 8482;Clements Julissa;juliclem2317;(754) 934-2839;;;Price!=null failed
3423976;524;10131;10-01-2013;visa;4624 0239 6780 1242;Benton Evangeline;evangbenton6043;(915) 242-0897;;;Price!=null failed
3423977;924;10227;27-01-2013;visaelectron;4913 6778 0070 0380;Hooper Giuliana;giuliahooper9161;(281) 878-8401;;;Price!=null failed
3423984;998;10306;09-01-2013;amex;3498 2327 2965 679;Sanders Thomas;thosand9993;(269) 936-0820;;;Price!=null failed
3423985;838;10267;25-01-2013;mastercard;5443 7337 6763 1526;Cannon Itzel;itzelcanno7404;(352) 984-3447;;;Price!=null failed
3423988;951;10033;18-01-2013;visaelectron;4026 3292 8341 8536;Osborn Alison;alisonosborn9059;(787) 527-2261;;;Price!=null failed
3423993;140;10231;09-01-2013;amex;3762 5099 2988 656;Stephens Deborah;deborastephens2952;(772) 281-5461;;;Price!=null failed
3423995;633;10243;29-01-2013;maestro;6759 0154 0115 0238;Kidd Cheyanne;cheyki6787;(830) 349-7651;;;Price!=null failed
3424001;783;10022;01-01-2013;visaelectron;4917 4970 5909 3460;Solis Keon;kesol2683;(540) 171-9838;;;Price!=null failed
3424003;576;10015;22-01-2013;visa;4535 3753 1693 1429;Bryant Adyson;adybry4430;(856) 709-7681;;;Price!=null failed
3424006;447;10075;07-01-2013;mastercard;5299 0704 9700 0663;Crawford Frances;franccrawfor1536;(504) 890-3407;;;Price!=null failed
3424010;655;10317;17-01-2013;amex;3729 1990 5207 313;Le Jameson;jamel1335;(423) 269-5264;;;Price!=null failed
3424015;776;10131;10-01-2013;instapayment;6398 0466 9675 5891;Bright Hanna;hannabri8103;(440) 811-7590;;;Price!=null failed
3424019;157;10187;22-01-2013;instapayment;6375 6651 8050 5988;Bradshaw Victor;victobradsh2863;(908) 292-5040;;;Price!=null failed
3424024;745;10304;16-01-2013;mastercard;5282 8592 9091 3232;Ruiz Maverick;mavericru5900;(801) 579-1656;;;Price!=null failed
3424026;4;10304;27-01-2013;mastercard;5437 4301 2142 7380;Collins Rodolfo;rodcol1595;(814) 406-9281;;;Price!=null failed
3424032;528;10052;25-01-2013;maestro;6304 6731 3118 0204;Austin Kaia;kaiaust7986;(208) 681-9733;;;Price!=null failed
3424039;278;10111;18-01-2013;amex;3780 6261 1724 786;Beach Averie;averibeac5854;(862) 596-7458;;;Price!=null failed
3424050;854;10103;14-01-2013;visa;4665 6375 2700 2015;Taylor Monica;monitaylo9830;(361) 270-4538;;;Price!=null failed
3424067;809;10052;14-01-2013;visa;4200 7448 4764 1787;Phelps Selah;selphe2222;(740) 867-5029;;;Price!=null failed
3424068;206;10346;13-01-2013;instapayment;6383 9865 3296 7316;Wiley Conor;conorwil5596;(321) 751-8224;;;Price!=null failed
3424071;638;10334;23-01-2013;amex;3406 5337 2105 630;Lane Maurice;maurla1432;(925) 444-4584;;;Price!=null failed
3424076;462;10104;20-01-2013;instapayment;6393 3461 2143 1117;Head Tristian;tristihe9637;(507) 241-8351;;;Price!=null failed
3424086;849;10167;13-01-2013;amex;3482 1061 3054 309;Goodman Lincoln;lincolngood8351;(802) 832-9506;;;Price!=null failed
3424090;38;10097;08-01-2013;visa;4471 1344 2349 2478;Cook Cali;caco2582;(731) 252-3242;;;Price!=null failed
3424091;323;10238;19-01-2013;amex;3744 5005 7437 837;Ross Janiyah;janros6164;(910) 255-9025;;;Price!=null failed
3424095;445;10243;26-01-2013;maestro;6304 3711 7942 8631;England Gabriel;gabengla6618;(239) 281-0594;;;Price!=null failed
3424104;181;10093;28-01-2013;instapayment;6389 8311 4570 1633;Ellis Nyla;nyel4423;(517) 435-1261;;;Price!=null failed
3424108;904;10306;01-01-2013;amex;3723 1299 4709 078;Oneill Desmond;desmonone5984;(248) 683-1219;;;Price!=null failed
3424112;306;10116;20-01-2013;mastercard;5192 2161 9185 1392;Callahan Rudy;rucallahan4204;(570) 661-9577;;;Price!=null failed
3424114;951;10244;01-01-2013;visaelectron;4917 0127 7105 8244;Osborn Alison;alisonosborn9059;(787) 527-2261;;;Price!=null failed
3424115;425;10209;14-01-2013;visa;4966 1618 0452 2286;Hartman Skylar;skylarhartman9530;(754) 288-8568;;;Price!=null failed
3424116;546;10276;07-01-2013;visa;4725 9681 5527 8900;Reyes Crew;crerey7860;(608) 560-7121;;;Price!=null failed
3424118;49;10097;04-01-2013;visa;4157 6072 4843 4826;Shepherd Tommy;tomshepherd1528;(539) 573-5276;;;Price!=null failed
3424123;785;10243;13-01-2013;amex;3737 1926 4943 279;Sloan Joanna;joansloan3867;(920) 210-0178;;;Price!=null failed
3424125;372;10028;13-01-2013;visaelectron;4175 0080 1986 7237;Gilmore Casey;caseygilm5408;(878) 619-3505;;;Price!=null failed
3424126;927;10126;23-01-2013;maestro;6761 1224 6137 8513;Webster Aileen;ailwebster5435;(405) 588-9512;;;Price!=null failed
3424132;555;10071;06-01-2013;maestro;6761 6112 1556 6308;Gibbs Jaylee;jaylgib4590;(603) 621-9616;;;Price!=null failed
3424135;226;10276;19-01-2013;maestro;5038 7686 2513 4652;Dodson Haylie;hayldodso9187;(813) 694-9330;;;Price!=null failed
3424142;730;10053;26-01-2013;maestro;5020 6702 1882 8619;Singleton Saul;sausingl8903;(339) 638-6910;;The Scotts Company;Price!=null failed
3424143;445;10028;04-01-2013;visa;4586 8383 0371 4478;England Gabriel;gabengla6618;(239) 281-0594;;;Price!=null failed
3424144;879;10161;15-01-2013;maestro;5018 0644 0966 4591;Horne Kendyl;kendhorne4117;(479) 577-9475;;;Price!=null failed
3424151;65;10022;20-01-2013;mastercard;5449 1892 2029 2659;George Deshawn;deshageorg7028;(347) 148-1255;;;Price!=null failed
3424152;288;10028;16-01-2013;visaelectron;4913 8279 4382 4106;Barrett Brisa;brbarre7058;(313) 139-5747;;;Price!=null failed
3424158;513;10174;12-01-2013;visaelectron;4026 8681 3576 9521;Hodges Kendrick;kendrichodge3033;(919) 141-6526;;;Price!=null failed
3424165;851;10329;10-01-2013;instapayment;6378 8238 1686 4066;Koch Lawson;lawsonko3174;(727) 933-4755;;;Price!=null failed
3424167;917;10264;30-01-2013;visa;4705 8805 9893 2247;Byers Ishaan;ishaaby8990;(619) 992-1819;;;Price!=null failed
3424170;344;10329;20-01-2013;visaelectron;4844 9397 5281 0656;Knowles Conor;conknowl4386;(912) 703-5958;;;Price!=null failed
3424175;543;10238;05-01-2013;amex;3787 1592 2056 483;Booth Darnell;darnbooth1301;(352) 476-1571;;;Price!=null failed
3424176;532;10111;02-01-2013;amex;3762 2977 7326 076;Cain Yesenia;yesenicai1732;(702) 581-2264;;;Price!=null failed
3424177;961;10111;12-01-2013;amex;3750 5169 1000 582;Palmer Westin;wespalm5293;(702) 918-8282;;;Price!=null failed
3424179;48;10030;07-01-2013;amex;3497 1552 8935 854;Fuentes Itzel;itzfuen8764;(217) 682-2421;;;Price!=null failed
3424184;821;10258;15-01-2013;instapayment;6392 2212 2232 0116;Downs Spencer;spencerdown8225;(786) 633-9400;;;Price!=null failed
3424199;883;10139;14-01-2013;amex;3411 8287 3849 123;Pruitt Jaida;japrui6151;(516) 745-2473;;;Price!=null failed
3424204;714;10027;07-01-2013;instapayment;6377 7077 7842 1125;Griffin Mitchell;mitcgriffi1664;(586) 818-8612;;;Price!=null failed
3424207;63;10163;20-01-2013;visa;4760 6598 9355 7178;Hunter Jayson;jayshunte1166;(650) 775-1497;;;Price!=null failed
3424211;763;10186;19-01-2013;visa;4864 5860 0070 0737;Gamble Dexter;dextergamble3546;(774) 154-5159;;;Price!=null failed
3424214;818;10216;26-01-2013;maestro;6762 6264 9763 6693;Johnson Melina;melinajohnso2464;(916) 402-9429;;;Price!=null failed
3424217;57;10191;29-01-2013;maestro;5020 0127 4868 3380;Flynn Casen;cafl4149;(671) 583-8955;;;Price!=null failed
3424221;782;10092;11-01-2013;amex;3767 4762 0458 804;Hahn Pearl;peaha3816;(938) 601-2260;;;Price!=null failed
3424222;605;10191;14-01-2013;amex;3465 6305 1776 110;Browning Marvin;marvibrownin5016;(619) 298-8746;;;Price!=null failed
3424225;244;10244;09-01-2013;visa;4234 7007 7886 6231;Lambert Ally;allylamber3453;(872) 553-1778;;;Price!=null failed
3424229;386;10258;15-01-2013;visa;4588 3261 9173 2800;Clements Bently;bentlyclem9701;(406) 618-9177;;;Price!=null failed
3424234;210;10033;21-01-2013;visa;4326 2863 3829 1929;Boyd Giovanna;giovannabo8407;(304) 375-3981;;;Price!=null failed
3424238;883;10293;14-01-2013;amex;3460 5233 9086 435;Pruitt Jaida;japrui6151;(516) 745-2473;;;Price!=null failed
3424244;657;10209;05-01-2013;visa;4338 7957 8635 9281;Grimes Karly;kagrim2579;(281) 690-8123;;;Price!=null failed
3424245;331;10307;22-01-2013;amex;3753 8201 7987 156;Allison Brittany;brittall9018;(703) 720-1938;;;Price!=null failed
3424247;882;10163;13-01-2013;visa;4446 0899 2191 5325;Duncan Jacob;jacdunc3340;(808) 736-5260;;;Price!=null failed
3424248;628;10029;30-01-2013;visaelectron;4026 4589 5348 3619;Combs Izaiah;izaiahcom4177;(713) 958-7279;;;Price!=null failed
3424249;515;10094;21-01-2013;visa;4818 4728 4439 0737;Rodgers Grace;grarod3495;(331) 525-6002;;;Price!=null failed
3424256;895;10139;20-01-2013;visaelectron;4175 0096 7449 1909;Mcdaniel Joel;jomcdaniel3907;(414) 407-3663;;;Price!=null failed
3424258;232;10040;13-01-2013;maestro;5018 0063 7172 6072;Barrera Paul;paubarrera6880;(207) 685-4899;;;Price!=null failed
3424260;539;10157;25-01-2013;visaelectron;4917 1551 5901 2190;Nichols Lyla;lylanicho4325;(318) 933-1996;;;Price!=null failed
3424261;291;10110;01-01-2013;mastercard;5411 2696 3692 9286;Hughes Christina;christihughes8880;(318) 335-5154;;;Price!=null failed
3424268;563;10250;07-01-2013;mastercard;5407 0819 4929 4647;Bridges Dorian;doribri2496;(830) 250-2802;;;Price!=null failed
3424269;501;10090;15-01-2013;maestro;6763 2232 5291 1492;Walsh Hayleigh;haylewalsh6967;(402) 284-5102;;;Price!=null failed
3424270;397;10069;07-01-2013;maestro;5018 8626 0323 4099;Riggs Kristian;kristianrig9613;(551) 204-3310;;;Price!=null failed
3424273;401;10280;01-01-2013;instapayment;6388 5389 7478 5295;Bridges Francesca;francescbri4607;(214) 732-0498;;;Price!=null failed
3424276;579;10177;10-01-2013;amex;3475 8275 4968 880;Durham Jesus;jesusdur2157;(434) 778-8274;;;Price!=null failed
3424278;45;10317;06-01-2013;visaelectron;4175 0068 1829 8216;Sheppard Jaelyn;jaelyshepp9356;(908) 264-6217;;;Price!=null failed
3424284;78;10346;30-01-2013;visaelectron;4508 6750 4879 1899;House Zain;zahous5831;(307) 257-7697;;;Price!=null failed
3424289;190;10035;01-01-2013;visaelectron;4026 7658 6603 9167;Hale Quintin;quintinhale6503;(929) 247-7230;;;Price!=null failed
3424291;361;10216;02-01-2013;maestro;6761 4983 9051 6690;Ballard Tiana;tianballa7765;(410) 359-0521;;;Price!=null failed
3424292;724;10257;11-01-2013;instapayment;6390 2684 4054 1561;Vang Ariana;ariavan8828;(701) 661-0597;;;Price!=null failed
3424293;159;10115;28-01-2013;instapayment;6398 7445 2963 4974;Lee Alannah;alannahle8794;(636) 761-3883;;;Price!=null failed
3424296;731;10066;12-01-2013;mastercard;5204 9149 1672 8723;Kim Matthias;matthiakim5004;(908) 160-8166;;;Price!=null failed
3424298;594;10286;15-01-2013;instapayment;6377 2170 6073 2361;Stevens Sara;sasteven2156;(973) 897-0879;;;Price!=null failed
3424308;97;10117;22-01-2013;visa;4314 5948 2998 6442;Hunter Davion;davihunt1426;(501) 312-6712;;;Price!=null failed
3424310;474;10053;16-01-2013;visaelectron;4026 9313 5055 2277;Lopez Kinsley;kinsllopez3899;(334) 876-2072;;The Scotts Company;Price!=null failed
3424311;361;10027;10-01-2013;visaelectron;4175 0077 1847 7819;Ballard Tiana;tianballa7765;(410) 359-0521;;;Price!=null failed
3424315;882;10089;02-01-2013;visaelectron;4026 7126 2169 7004;Duncan Jacob;jacdunc3340;(808) 736-5260;;;Price!=null failed
3424318;285;10059;27-01-2013;visa;4071 5011 4792 9775;Francis Quincy;quifran8419;(539) 668-3112;;;Price!=null failed
3424325;975;10079;08-01-2013;visaelectron;4508 2642 4840 2795;Gould Grayson;graysogou4603;(310) 513-6945;;;Price!=null failed
3424331;548;10161;05-01-2013;visaelectron;4844 9141 3134 3778;Reynolds Dalton;daltoreynolds4123;(701) 144-9022;;;Price!=null failed
3424333;973;10334;08-01-2013;instapayment;6381 3961 6908 5139;Cunningham Felipe;felipecunnin3805;(479) 141-5034;;;Price!=null failed
3424334;721;10257;13-01-2013;maestro;5038 0321 1282 5607;Flores Jacob;jacflo6908;(219) 851-7654;;;Price!=null failed
3424335;976;10178;27-01-2013;visa;4530 9449 6565 9717;Tillman Kason;katil2131;(615) 369-1112;;;Price!=null failed
3424338;14;10110;28-01-2013;amex;3407 5040 5616 094;Foley Alyvia;alyvfole9402;(269) 457-1165;;;Price!=null failed
3424341;277;10075;28-01-2013;visa;4321 2130 0328 0362;May Camilo;camilm6554;(612) 905-0585;;;Price!=null failed
3424343;863;10075;21-01-2013;amex;3727 4184 2681 800;Dale Phillip;phillipda8203;(614) 416-3167;;;Price!=null failed
3424344;267;10231;29-01-2013;maestro;5020 5680 3277 4060;Alvarez River;rialv7239;(469) 186-8698;;;Price!=null failed
3424346;828;10090;07-01-2013;visa;4299 5728 9855 8648;Howe Jessie;jesshowe9905;(915) 519-7640;;;Price!=null failed
3424348;108;10031;30-01-2013;mastercard;5107 0135 3890 0386;Mosley Paola;paolamosl8363;(770) 190-9208;;;Price!=null failed
3424349;185;10040;20-01-2013;amex;3410 2894 8246 128;Cote Clara;claracot7265;(314) 691-5590;;;Price!=null failed
3424351;541;10052;14-01-2013;amex;3411 4728 3975 040;Beach Kristopher;kristopherbea4052;(815) 759-0644;;;Price!=null failed
3424352;210;10117;26-01-2013;maestro;6763 6129 0714 7561;Boyd Giovanna;giovannabo8407;(304) 375-3981;;;Price!=null failed
3424355;387;10264;24-01-2013;visa;4785 5331 5945 2930;Espinoza Dustin;dusespino6336;(386) 717-7717;;;Price!=null failed
3424357;784;10035;05-01-2013;amex;3725 4184 3300 263;Obrien Dante;danteobr7391;(417) 739-1592;;;Price!=null failed
3424361;822;10253;26-01-2013;amex;3492 5237 9133 199;Carey Zoey;zoeyca9718;(843) 568-7067;;;Price!=null failed
3424371;880;10306;12-01-2013;amex;3777 8028 8371 331;Evans Derick;derickeva6432;(423) 593-6140;;;Price!=null failed
3424372;901;10052;05-01-2013;mastercard;5186 7602 4644 2200;Baxter Ayaan;ayaanbax5994;(614) 357-9039;;;Price!=null failed
3424376;685;10177;30-01-2013;instapayment;6375 6059 0263 6430;Cook Chad;chadco8912;(229) 719-6937;;;Price!=null failed
3424392;750;10063;11-01-2013;instapayment;6392 9196 7380 5259;Chang Haleigh;haleighchang1728;(954) 187-0306;;;Price!=null failed
